zone_id,rupture_date,slope_before_log_per_step,slope_after_log_per_step,acceleration_log_per_step,growth_recent_annualized,growth_benchmark_annualized,surperf_annualized,volume_recent,confidence,n_points_used,rupture_is_recent,score
92012,2021-01-01,0.019185269328678804,-0.0015508738652634986,-0.020736143193942302,-0.018438380592687653,0.060082902576610975,-0.07852128316929863,4496,1.0,16,1,0.4007425736367591
92072,2021-01-01,0.025788008192568917,-0.0020507743324661696,-0.027838782525035088,-0.02430895212484374,0.060082902576610975,-0.08439185470145472,641,1.0,16,1,0.3877693627735102
92025,2020-07-01,0.009383825449719855,0.00904962149284984,-0.00033420395687001545,0.1453961485516888,0.060082902576610975,0.08531324597507783,2754,0.6,16,0,0.3849790420182078
92048,2021-07-01,0.01729284946204891,-0.01419135982973399,-0.0314842092917829,-0.06527669768655942,0.060082902576610975,-0.1253596002631704,1351,1.0,16,1,0.3431561904450467
92062,2020-10-01,0.010491427577641385,0.007573377184392853,-0.002918050393248533,0.08188438315612712,0.060082902576610975,0.02180148057951614,1540,0.6,16,0,0.3188834301862676
92002,2020-07-01,0.0201897105719561,0.007211791951893356,-0.012977918620062744,0.08383957873366499,0.060082902576610975,0.023756676157054013,1702,0.6,16,0,0.31077875753699125
92014,2021-01-01,0.032436176938531576,-0.008432882037483491,-0.04086905897601507,-0.09624284131425065,0.060082902576610975,-0.15632574389086162,600,1.0,16,1,0.3028051971331233
92049,2021-07-01,0.020542327301503453,-0.0264235774099584,-0.04696590471146185,-0.11699155220611934,0.060082902576610975,-0.17707445478273032,1710,1.0,16,1,0.27595964050580785
92063,2020-04-01,0.027561626775931457,0.0045638369280210905,-0.022997789847910365,0.04772448332544421,0.060082902576610975,-0.012358419251166763,2639,0.6,16,0,0.2646437909009229
92073,2020-07-01,0.015791989078663703,0.00021047351972543733,-0.015581515558938266,-0.014088822350830088,0.060082902576610975,-0.07417172492744106,1597,0.6,16,0,0.21024675951362065
92024,2020-04-01,0.002783792494845905,0.0004616733258426981,-0.002322119169003207,-0.027573149523908103,0.060082902576610975,-0.08765605210051908,2258,0.6,16,0,0.2100218287304777
92051,2020-07-01,0.018166029991003693,-0.0005940217738741053,-0.018760051764877796,-0.02730664722141951,0.060082902576610975,-0.08738954979803049,2535,0.6,16,0,0.1938503984370917
92026,2020-10-01,0.010541615591127826,-0.004469113366680026,-0.015010728957807851,-0.04338437068589396,0.060082902576610975,-0.10346727326250493,2610,0.6,16,0,0.1815219977796872
92040,2020-10-01,0.019150849224784747,-0.004541863105907229,-0.02369271233069198,-0.05521885875631993,0.060082902576610975,-0.11530176133293091,2140,0.6,16,0,0.1610055263363771
92019,2020-04-01,-0.002920309069586935,-0.01005754344825151,-0.007137234378664575,-0.10690646227683276,0.060082902576610975,-0.16698936485344373,1125,0.6,16,0,0.1258734007678917
92077,2020-10-01,0.009364992679405493,-0.01697799901074563,-0.026342991690151123,-0.2023288434107391,0.060082902576610975,-0.26241174598735006,314,0.6,16,0,0.011245262322498784
92078,2020-04-01,0.24506507010304954,0.01296852580254505,-0.2320965443005045,-0.04710338541120174,0.060082902576610975,-0.10718628798781271,390,0.6,16,0,-0.03928283228831725
